2,OFFICE OF THE LIEUTENANT GOVERNOR OF ONTARIO
3,THE EXECUTIVE COUNCIL OF ONTARIO,EXECUTIVE COUNCIL
4,LEGISLATIVE ASSEMBLY OF ONTARIO
5,QUEEN'S PARK - MEMBERS OF PROVINCIAL PARLIAMENT  (MPPS),LEGISLATIVE ASSEMBLY OF ONTARIO
6,CONSTITUENCIES - MEMBERS OF PROVINCIAL PARLIAMENT  (MPPS),LEGISLATIVE ASSEMBLY OF ONTARIO
1568,STRATFORD JAIL,JAILS,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1569,SUDBURY JAIL,JAILS,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1570,THUNDER BAY JAIL,JAILS,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1571,WINDSOR JAIL,JAILS,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1572
1573,ELGIN-MIDDLESEX DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1574,HAMILTON-WENTWORTH DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1575,TORONTO EAST DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1576,TORONTO WEST DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1577,HEALTH CARE UNIT,TORONTO WEST DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1578,MAINTENANCE,TORONTO WEST DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1579,NIAGARA DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1580,OTTAWA-CARLETON DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1581,QUINTE DETENTION CENTRE,DETENTION CENTRES,INSTITUTIONS,CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1582,BROOKSIDE YOUTH CENTRE,DIRECT OPERATED FACILITIES BRANCH,YOUTH JUSTICE SERVICES DIVISION,CHILDREN AND YOUTH SERVICES
1583,CECIL FACER YOUTH CENTRE,DIRECT OPERATED FACILITIES BRANCH,YOUTH JUSTICE SERVICES DIVISION,CHILDREN AND YOUTH SERVICES
1584,SPRUCEDALE YOUTH CENTRE,DIRECT OPERATED FACILITIES BRANCH,YOUTH JUSTICE SERVICES DIVISION,CHILDREN AND YOUTH SERVICES
1585,PUBLIC SAFETY DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1586,EXTERNAL RELATIONS BRANCH,PUBLIC SAFETY DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1587,ONTARIO POLICE COLLEGE,PUBLIC SAFETY TRAINING DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1588,SENIOR AND SPECIAL COURSES,ONTARIO POLICE COLLEGE,PUBLIC SAFETY TRAINING DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1589,SUPPORT SERVICES,ONTARIO POLICE COLLEGE,PUBLIC SAFETY TRAINING DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1590,POLICING STANDARDS SECTION,EXTERNAL RELATIONS BRANCH,PUBLIC SAFETY DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1591,DEPUTY REGISTRAR'S OFFICE,PRIVATE SECURITY AND INVESTIGATIVE SERVICES BRANCH,PUBLIC SAFETY DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1592,PRIVATE SECURITY AND INVESTIGATIVE SERVICES BRANCH,PUBLIC SAFETY DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1593,PROGRAM DEVELOPMENT SECTION,EXTERNAL RELATIONS BRANCH,PUBLIC SAFETY DIVISION,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1594,ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1595,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1596,BUSINESS MANAGEMENT BUREAU,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1597,UNIFORM RECRUITMENT AND HRIS,CAREER DEVELOPMENT BUREAU,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1598,PSYCHOLOGICAL SERVICES,CAREER DEVELOPMENT BUREAU,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1599
1600,OPERATIONAL POLICY AND STRATEGIC PLANNING BUREAU,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1601,"POLICY, QUALITY ASSURANCE AND PROGRAMS SECTION",OPERATIONAL POLICY AND STRATEGIC PLANNING BUREAU,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1602
1603,FIRST NATIONS PROGRAM,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1604,MUNICIPAL POLICING BUREAU,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1605,COMMUNICATIONS AND TECHNOLOGY SERVICES BUREAU,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1606,TECHNOLOGY AND CLIENT SERVICES,COMMUNICATIONS AND TECHNOLOGY SERVICES BUREAU,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1607,PROVINCIAL COMMUNICATIONS SUPPORT,TECHNOLOGY AND CLIENT SERVICES,COMMUNICATIONS AND TECHNOLOGY SERVICES BUREAU,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1608,FLEET SERVICES,"FLEET, SUPPLY AND WEAPONS SERVICES BUREAU",PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1609,SUPPLY SERVICES,"FLEET, SUPPLY AND WEAPONS SERVICES BUREAU",PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1610,CAREER DEVELOPMENT BUREAU,PROVINCIAL COMMAND (CORPORATE SERVICES),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1611,PROFESSIONAL STANDARDS BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1612,CLASSIFICATION AND ANALYSIS UNIT,PROFESSIONAL STANDARDS BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1613,PROGRAM SUPPORT,FIELD SUPPORT BUREAU,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1614,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1615,INVESTIGATION AND ENFORCEMENT BUREAU (AGCO),PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1616,CRIMINAL INVESTIGATION BRANCH,CRIMINAL INVESTIGATION SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1617,ELECTRONIC CRIME SECTION,BEHAVIOURAL FORENSIC AND ELECTRONIC SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1618,SOUTHWEST ONTARIO ECONOMIC CRIME INVESTIGATIVE TEAM  (ARS),ANTI-RACKETS BRANCH,CRIMINAL INVESTIGATION SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1619,NORTHERN ONTARIO ECONOMIC CRIME INVESTIGATIVE TEAM  (ARS),ANTI-RACKETS BRANCH,CRIMINAL INVESTIGATION SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1620,EASTERN ONTARIO ECONOMIC CRIME INVESTIGATIVE TEAM  (ARS),ANTI-RACKETS BRANCH,CRIMINAL INVESTIGATION SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1621,GAMING AND BIKER ENFORCEMENT PROGRAM,ORGANIZED CRIME ENFORCEMENT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1622,DRUG ENFORCEMENT PROGRAM,ORGANIZED CRIME ENFORCEMENT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1623,PROVINCIAL WEAPONS ENFORCEMENT PROGRAM,ORGANIZED CRIME ENFORCEMENT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1624,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1625,POLYGRAPH SERVICES UNIT,BEHAVIOURAL FORENSIC AND ELECTRONIC SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1626,THREAT ASSESSMENT UNIT,BEHAVIOURAL FORENSIC AND ELECTRONIC SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1627,PHOTOGRAPHIC AND VIDEO SURVEILLANCE UNIT,TECHNICAL SUPPORT BRANCH (TSB),CRIMINAL INVESTIGATION SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1628,ANALYSIS AND INFORMATION SECTION,PROVINCIAL OPERATIONS INTELLIGENCE BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1629,WITNESS PROTECTION,PROVINCIAL OPERATIONS INTELLIGENCE BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1630,FIELD INTELLIGENCE SECTION,PROVINCIAL OPERATIONS INTELLIGENCE BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1631
1632,FORENSIC IDENTIFICATION AND PHOTOGRAPHIC SERVICES SECTION  (FIPS),FORENSIC IDENTIFICATION AND TECHNICAL SERVICES,INVESTIGATION AND SUPPORT BUREAU,PROVINCIAL COMMANDER (INVESTIGATIONS/ORGANIZED CRIME),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1633,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1634,TRAFFIC AND MARINE UNIT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1635,MAJOR CRIMES UNIT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1636,FORENSIC IDENTIFICATION SERVICES,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1637,PCC ORILLIA,PROVINCIAL COMMUNICATIONS SUPPORT,TECHNOLOGY AND CLIENT SERVICES,COMMUNICATIONS AND TECHNOLOGY SERVICES BUREAU,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1638,BRACEBRIDGE DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1639,HUNTSVILLE DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1640,HURONIA WEST DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1641,SOUTHERN GEORGIAN BAY,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1642,NOTTAWASAGA DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1643,ORILLIA DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1644,DUFFERIN DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1645,TRAFFIC UNIT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1646,BRIGHTON SITE,NORTHUMBERLAND DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1647,CAMPBELLFORD SITE,NORTHUMBERLAND DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1648,COBOURG OFFICE,NORTHUMBERLAND DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1649,PETERBOROUGH COUNTY DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1650,THE CITY OF KAWARTHA LAKES DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1651,HALIBURTON HIGHLANDS DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1652,OPP EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1653,PENITENTIARY SQUAD,OPP EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1654,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1655,AURORA DETACHMENT,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1656,BURLINGTON DETACHMENT,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1657,CALEDON DETACHMENT,OPP CENTRAL REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1658,CAMBRIDGE DETACHMENT,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1659,TORONTO DETACHMENT,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1660,NIAGARA DETACHMENT,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1661,PORT CREDIT DETACHMENT,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1662,WHITBY DETACHMENT,OPP GREATER TORONTO REGIONAL HEADQUARTERS,HIGHWAY SAFETY DIVISION,PROVINCIAL COMMAND (TRAFFIC SAFETY AND OPERATIONAL SUPPORT),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1663,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1664,EAST ALGOMA DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1665,ALMAGUIN HIGHLANDS DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1666,COCHRANE DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1667,TEMISKAMING DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1668,JAMES BAY DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1669,MANITOULIN DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1670,NORTH BAY DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1671,WEST PARRY SOUND DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1672,SAULT STE MARIE DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1673,SOUTH PORCUPINE DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1674,NOELVILLE ADMINISTRATION CENTRE,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1675,SUDBURY/ESPANOLA DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1676,SUPERIOR EAST DETACHMENT,DETACHMENTS,OPP NORTH EAST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1677,OPP NORTH WEST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1678,ARMSTRONG DETACHMENT,OPP NORTH WEST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1679,DRYDEN DETACHMENT,OPP NORTH WEST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1680,IGNACE SATELLITE OFFICE,DRYDEN DETACHMENT,OPP NORTH WEST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
1681,ATIKOKAN SATELLITE OFFICE,FORT FRANCES DETACHMENT,OPP NORTH WEST REGION HEADQUARTERS,REGIONAL HEADQUARTERS,PROVINCIAL COMMAND (FIELD OPERATIONS),ONTARIO PROVINCIAL POLICE,COMMUNITY SAFETY AND CORRECTIONAL SERVICES
